,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
66,3378.0,2861.0,5508.0,6207.0,5032.0,4889.0,4652.0,4269.0,3826.0,True
67,3373.0,2888.0,5517.0,6240.0,5064.0,4959.0,4674.0,4311.0,3856.0,True
68,3368.0,2860.0,5478.0,6151.0,5075.0,4957.0,4652.0,4278.0,3867.0,True
69,3046.0,2624.0,4488.0,5487.0,5192.0,5076.0,4693.0,3972.0,3427.0,True
70,3044.0,2645.0,4405.0,5409.0,5190.0,5074.0,4717.0,3938.0,3423.0,True
71,3315.0,2860.0,4597.0,5616.0,5292.0,5143.0,4836.0,4128.0,3757.0,True
72,2938.0,2440.0,4442.0,5449.0,4943.0,4844.0,4529.0,3955.0,3471.0,True
73,3118.0,2676.0,4389.0,5454.0,5311.0,5221.0,4772.0,3975.0,3533.0,True
74,3082.0,2548.0,4531.0,5665.0,5217.0,5130.0,4733.0,4107.0,3643.0,True
75,3163.0,2716.0,4490.0,5556.0,5274.0,5132.0,4761.0,4017.0,3571.0,True
76,2931.0,2413.0,4394.0,5515.0,5018.0,4903.0,4562.0,3959.0,3505.0,True
77,3164.0,2765.0,4410.0,5302.0,5110.0,5003.0,4561.0,3940.0,3516.0,True
78,2930.0,2441.0,4373.0,5492.0,4962.0,4888.0,4492.0,3906.0,3501.0,True
79,3193.0,2636.0,4628.0,5780.0,5314.0,5204.0,4828.0,4188.0,3772.0,True
80,3283.0,2710.0,4758.0,5899.0,5444.0,5243.0,4943.0,4397.0,3870.0,False
81,2898.0,2488.0,5063.0,5757.0,4426.0,4310.0,4034.0,3709.0,3413.0,False
82,3034.0,2643.0,5229.0,5925.0,4653.0,4489.0,4131.0,3844.0,3528.0,False
83,3143.0,2692.0,5301.0,5967.0,4668.0,4560.0,4242.0,3989.0,3620.0,False
84,3005.0,2602.0,5295.0,6027.0,4554.0,4393.0,4157.0,3833.0,3481.0,False
85,3107.0,2680.0,5465.0,6120.0,4803.0,4623.0,4326.0,4014.0,3639.0,False
86,2875.0,2517.0,5077.0,5791.0,4445.0,4300.0,3962.0,3605.0,3322.0,False
87,3227.0,2738.0,5043.0,6293.0,4978.0,4919.0,4580.0,4212.0,3798.0,False
88,2862.0,2417.0,4503.0,5481.0,4442.0,4392.0,4025.0,3704.0,3332.0,False
89,2840.0,2434.0,4423.0,5270.0,4591.0,4410.0,4165.0,3605.0,3216.0,True
90,2640.0,2279.0,4247.0,5200.0,4529.0,4420.0,3988.0,3547.0,3125.0,True
91,3163.0,2643.0,5009.0,6103.0,4943.0,4826.0,4552.0,4137.0,3749.0,False
